#Date (Begin Transmision)	Time (Begin Transmision)	Date (End Transmision)	Time (End Transmision)	Message Type ( 0 = transmit once , 1 = transmit until received )	Probability (%)	Retransmision Interval (minutes)	Priority (0=High 1=Low)	@FROM@ ^TO^ &TITLE& [INVOLVED SHIPS,INVOLVED SHIPS] Message content 
19411207	1755	19411207	1900	1	100	5	0	@PEARL HARBOR@^...^ATTACCO AEREO  A PEARL HARBOR X QUESTA NON E' UN'ESERCITAZIONE X
19450707	1300	19450707	2359	1	100	120	0	@COMSUBPAC@^...^COMSUBPAC X LA BARBAROUS BARB RIPORTA L'AFFONDAMENTO DI DUE INCROCIATORI, QUATTRO GIUNCHE, UN PESCHERECCIO E QUATTRO SAMPAN. SI RIPORTA ANCHE UN BOMBARDAMENTO AEREO E DI UN TRAFFICO DI BOMBE x
19411207	1300	19411208	1300	1	100	120	0	@COMSUBPAC@^...^&Fox Traffic&SI AVVISA DI UNA POTENZIALE PRESENZA DI UNA FORZA NAVALE GIAPONESE X ATTIVITA' NEMICA RILEVATA NELLA ZONA COSTIERA DEL BORNEO E NELLE FILIPPINE X
19411207	1755	19411207	1900	1	100	5	0	@PEARL HARBOR^…^&Fox Traffic&ATTACCO AEREO A PEARL HARBOR X QUESTA NON E' UN'ESERCITAZIONE X
19411208	1800	19411208	2300	1	100	60	0	@COMSUBPAC@^...^&Fox Traffic&LE FORZE IMPERIALI GIAPPONESI SONO SBARCATE IN MALAYA X GLI INGLESI, GLI AMERICANI E GLI OLANDESI HANNO DICHIARATO GUERRA AL GIAPPONE X TUTTI I VASCELLI BATTENTI BANDIERA GIAPPONESE SONO DA CONSIDERARSI OSTILI X
19411209	1800	19411209	2300	0	100	60	0	@...@^...^&Pac News&LA CINA HA UFFICIALMENTE DICHIARATO GUERRA AL GIAPPONE X QUESTO E' UN BRUTTO PERIODO X
19411210	0100	19411210	1700	1	100	120	0	@COMSUBPAC@^...^&Fox Traffic&L'INVASIONE DELLE FILIPPINE E' IMMINENTE X TUTTE LE NAVI PATTUGLIA DELL'AREA SARANNO IMPIEGATE NELLA DIFESA E NELL'EVACQUAZIONE X
19411210	1800	19411210	2300	0	100	60	0	@...@^...^&Pac News&I GIAPPONESI HANNO AFFONDATO 2 CORAZZATE INGLESE NEL MAR CINESE MERIDIONALE X LA HMS REPULSE E LA HMS PRINCE OF WALES SONO PERDUTET X LE FORZE GIAPPONESI SONO SBARCATE NELLE FILIPPINE X
19411211	1800	19411211	2300	0	100	60	0	@...@^...^&Pac News&LA GERMANIA E L'ITALIA DICHIARANO GUERRA AGLI STATI UNITI X IL CONGRESSO AMERICANO NON VUOLE ESSERE DA MENO DICHIARA GUERRA ALLE GERMANIA E ALL'ITALIA X LE FORZE GIAPPONESI SONO STATE RESPINTE FINO ALL'ISOLA WAKE X BUON LAVORO RAGAZZI X
19411212	2100	19411213	2100	1	100	120	0	@COMSUBPAC@^...^&Fox Traffic&TUTTE LE PATTUGLIE SONO AVVISATE DELL'IMMINENTE INVASIONE DEL BORNEO DA PARTE DEI GIAPPONESI X RICHIEDERE ASSISTENZA E COPERTURA AEREA ALLE UNITA' ALLEATE IN ZONA X
